ML4,ML2,ML3,ML1,Max,tract
1.178393485186911,-0.6435570037964162,-0.909710746931693,-0.4153939692884681,ML4,6083002103
1.259693008320102,-0.9622295580087215,-0.876161119476265,-0.8934252212269694,ML4,6083002402
0.2746190191153824,-1.137823314567521,-0.921916959604292,-0.7972131233380513,ML4,6083002102
-1.1936349880552972,-0.5267088484825985,-0.2721758438395389,0.5401175352020937,ML1,6083002010
-0.5937182416974291,-0.6214055057863788,-0.4047909066488493,0.44631643466862114,ML1,6083002009
-0.8389374810086905,-0.6712633455461193,-0.24623475467339917,0.18658159317679468,ML1,6083002008
-0.5035242520344428,-0.436225427402264,-0.47352160692825507,-0.18503702454284993,ML1,6083002007
0.044936124651196965,-0.8439673337596282,-0.33015053447349324,0.016115653012822778,ML4,6011000500
0.1098380035475955,-0.8821418491339434,-0.5415062891954653,0.04717536362556298,ML4,6011000200
-0.02572115449224536,-0.6977522741951167,-0.03854954747701711,0.8077476865672262,ML1,6011000400
0.6383358932306622,-1.0857117306671649,-1.1497007964939896,-1.1270128196201772,ML4,6011000300
0.38573694936236624,-1.1458590533807493,-0.9999940812917822,-0.6667767687582904,ML4,6011000100
-0.03979708092055778,-0.11503290001577088,0.3884843185811921,2.42792197546578,ML1,6103000500
0.14747094274035744,-0.46875596053189916,0.13825865290070224,1.9336715413775685,ML1,6103000600
-0.1948423200472187,-0.37594794659798025,0.05890907767357413,1.977743547551329,ML1,6103000200
0.19667581782535315,-0.7378191731125837,-0.42671364264065587,0.8521640209749334,ML1,6103000800
0.4588664960799255,-0.2877236635835414,0.14077667533057997,2.5482454068676703,ML1,6103000700
9.881107523941777e-4,-0.5512754635674706,-0.16991279125925868,1.628601279053827,ML1,6103000900
-0.2389921440962604,-0.42879125753679764,-3.117693813615881e-4,1.917550646415928,ML1,6103000100
0.09133498236195339,-0.746601156063917,-0.4450042128254799,0.8699608732609343,ML1,6103001000
-0.7203782514820248,-0.26890847733955614,0.11435549933985625,1.6997105656895497,ML1,6103000400
0.4809297770648155,-0.8104095685280579,-0.4635630953697037,0.57712784900582,ML1,6103001100
0.22300201611950354,-1.008005503064068,-0.7219302237037895,-0.4822115151584308,ML4,6083001704
-0.5858137382735398,-0.21670846668973492,0.8933994489791086,0.740331104811967,ML3,6083002606
-0.35023484806284844,-0.7340201230543396,-0.29443912217223583,0.11492201971656786,ML1,6083003102
-1.167330081604132,-0.41112170609202653,-0.0912068729498581,1.4187914445394507,ML1,6083003007
-0.6093679521455271,-0.4023321208097333,-0.48499470625266533,0.296140357013891,ML1,6083002932
-0.4303804954805212,-0.11419071352245427,-0.24098395518050614,0.3590895272143083,ML1,6083002930
1.38227476589322,0.2561577644109764,0.5742556468316385,2.6819782669942187,ML1,6083002928
1.7117495931592654,0.2968249093884794,0.8913220612230828,2.9824555741960133,ML1,6083002926
1.8299517434254242,0.7210761116537967,0.4712491647295121,2.847764103215962,ML1,6083002924
