ML1,ML3,ML2,ML4,Max,tract
0.9382875874752206,1.3294669056895085,0.6286564000869264,-0.41926558675045283,ML3,6083002103
1.3927521853361402,0.6985212214671956,0.8675054218448827,0.018378502273511482,ML1,6083002402
0.9784050815106614,-0.546672953105728,0.4688193601582725,-0.18203614868472687,ML1,6083002102
-0.7263333029347225,-1.079886960817193,-1.0402760288859965,-0.7856087923720401,ML1,6083002010
-0.3547864377063812,-0.48305055249940176,-0.6654328897261594,-0.7508317574422544,ML1,6083002009
-0.35162457156069665,-0.7989069544717539,-0.8075169342052764,-0.5133589609291946,ML1,6083002008
-0.16293497616432948,-0.30925644671901137,-0.7052146613245532,-0.5315945036714356,ML1,6083002007
0.14496918981402282,0.2837959040100365,-0.4557737986821031,-0.39645580396086577,ML3,6011000500
0.25246488723000604,0.33631961559354917,-0.06788687016767897,-0.5588516043932692,ML3,6011000200
-0.29729945818693054,0.6207193784373202,-0.4636539901312974,-0.5954582549664467,ML3,6011000400
1.0903962991886795,0.22544978366007856,0.10222540445429786,-0.36896306736403,ML1,6011000300
0.971843085375281,-0.3999771896162819,0.49719609652215246,-0.3071272373302803,ML1,6011000100
-1.5504184361760294,2.004355048776031,-1.6160414802661873,-1.253044945836939,ML3,6103000500
-1.1192133520751573,2.0567810360552397,-1.5048602301135707,-1.2026936904727195,ML3,6103000600
-1.193385271988273,1.2563819402628933,-1.2634502769038833,-1.2893301183596182,ML3,6103000200
-0.17492805930507346,0.6037154403071173,-0.14795087982551922,-0.8318252820697055,ML3,6103000800
-1.4635830863891586,3.069211244160479,-1.806426067789097,-1.6016034663205105,ML3,6103000700
-0.9474497472727053,1.6037564002362836,-1.3726910030931563,-1.3382207988135446,ML3,6103000900
-1.2081167234021168,1.3392208857274255,-1.2815068998702177,-1.3010936704138136,ML3,6103000100
-0.30920919580326967,0.8757238734640301,-0.7580782104196848,-0.9944335147259078,ML3,6103001000
-1.3334075455151744,0.5775117869979265,-1.351562848352875,-1.132024742329038,ML3,6103000400
0.08255401405850933,1.03123168267819,-0.16073994305680506,-0.7078080600805053,ML3,6103001100
0.8857252715467038,-0.44004584107035294,0.8414412984049482,-0.19756992869562126,ML1,6083001704
-0.8676473559844011,0.03524266543608315,-0.9682490990303757,0.2792377081720278,ML4,6083002606
-0.11972797361185741,-0.1829986315778558,-0.743325338076637,-0.47375949108670706,ML1,6083003102
-1.1874542550921634,-0.45511552877486333,-1.1814903348042602,-1.1190415333723056,ML3,6083003007
-0.2548149225672616,-0.5845633001197436,-0.31733369793828325,-0.7190504929705401,ML1,6083002932
-0.4217745368687858,-0.12811411616780297,-0.5234757832973849,-0.5252154517298145,ML3,6083002930
-1.0281073998198307,3.6599425424380816,-0.5412604852215753,-0.8055503127701418,ML3,6083002928
-1.2834959797794756,4.560339584744517,-1.380270646098429,-0.7781590422274125,ML3,6083002926
-1.2031832667050661,4.439763458503636,-0.9915823305296929,-0.976381499134425,ML3,6083002924
-0.37782708760492817,-0.636852593437791,0.12177901645455112,-0.15637131214725597,ML2,6083002922
1.8354784637815718,0.21277705257946608,1.00917243852639,0.01614369509378711,ML1,6083002502
-0.7228192410609063,-0.20629960038063042,-1.1876316400625788,-1.0219360862941396,ML3,6083001706
-1.407197239128794,-0.5305596983268812,-1.2590763747134353,-1.0278208305680951,ML3,6083001402
0.6619723107109428,0.25215473350829765,0.17731790358569963,-0.049022473111893825,ML1,6083000804
